Node,Depth,Value
root,0,-Infinity
A2,1,Infinity
B2,2,-Infinity
A3,3,Infinity
B2,4,-Infinity
A2,5,-Infinity
A4,5,Infinity
B2,6,-Infinity
A2,7,-Infinity
A3,7,-6
A2,7,-6
B2,6,-6
A3,7,Infinity
B3,8,-Infinity
A2,9,Infinity
B2,10,1
A2,9,1
B3,10,1
A2,9,1
B4,10,0
A2,9,0
B3,8,0
A4,9,Infinity
B2,10,0
A4,9,0
B4,10,0
A4,9,0
B3,8,0
A3,7,0
B4,8,-Infinity
A2,9,Infinity
B2,10,3
A2,9,3
B3,10,2
A2,9,2
B4,8,2
A3,9,Infinity
B3,10,-1
A3,9,-1
B4,8,2
A4,9,Infinity
B3,10,-3
A4,9,-3
B4,8,2
A3,7,0
B2,6,0
A4,5,0
B3,6,-Infinity
A2,7,Infinity
B2,8,Infinity
B3,8,-Infinity
A3,9,-Infinity
A2,9,-Infinity
A4,9,-2
A2,9,-2
A3,9,-2
A4,9,Infinity
B4,10,1
A4,9,1
A3,9,1
B3,8,1
A4,9,Infinity
B4,10,-1
A4,9,-1
B3,8,1
B2,8,1
B4,8,-Infinity
A2,9,-Infinity
A3,9,Infinity
B2,10,0
A3,9,0
B3,10,Infinity
B2,10,2
B3,10,2
B4,10,Infinity
B2,10,-2
B4,10,-2
B3,10,-2
A3,9,-2
A2,9,-2
A4,9,Infinity
B3,10,Infinity
B4,10,6
B3,10,6
A4,9,6
A2,9,6
B4,8,6
A3,9,Infinity
B2,10,-1
A3,9,-1
B3,10,Infinity
B2,10,1
B3,10,1
B4,10,Infinity
B2,10,-3
B4,10,-3
B3,10,-3
A3,9,-3
B4,8,6
A4,9,Infinity
B2,10,1
A4,9,1
B3,10,Infinity
B2,10,-5
B3,10,-5
B4,10,Infinity
B2,10,-4
B4,10,-4
B3,10,-5
A4,9,-5
B4,8,6
B2,8,1
A2,7,1
B4,8,-Infinity
A2,9,-Infinity
A3,9,Infinity
B2,10,3
A3,9,3
A2,9,3
A4,9,12
A2,9,12
B4,8,12
A3,9,Infinity
B2,10,2
A3,9,2
B4,8,12
A4,9,Infinity
B2,10,1
A4,9,1
B4,8,12
A2,7,1
B3,6,1
A3,7,-Infinity
A2,7,Infinity
B2,8,Infinity
B3,8,Infinity
B4,8,-Infinity
A2,9,-Infinity
A3,9,0
A2,9,0
B4,8,0
A3,9,Infinity
B2,10,-2
A3,9,-2
B3,10,-3
A3,9,-3
B4,8,0
B3,8,0
B2,8,0
B4,8,-Infinity
A2,9,-Infinity
A3,9,Infinity
B3,10,4
A3,9,4
A2,9,4
A4,9,Infinity
B3,10,4
A4,9,4
A2,9,4
B4,8,4
A3,9,Infinity
B2,10,2
A3,9,2
B3,10,1
A3,9,1
B4,8,4
A4,9,Infinity
B2,10,2
A4,9,2
B3,10,1
A4,9,1
B4,8,4
B2,8,0
A2,7,0
B3,8,-Infinity
A4,9,-4
B3,8,-4
A2,7,-4
B4,8,-Infinity
A2,9,-Infinity
A3,9,Infinity
B3,10,6
A3,9,6
A2,9,6
A4,9,Infinity
B3,10,10
A4,9,10
A2,9,10
B4,8,10
A3,9,Infinity
B2,10,2
A3,9,2
B3,10,0
A3,9,0
B4,8,10
A4,9,Infinity
B2,10,2
A4,9,2
B3,10,2
A4,9,2
B4,8,10
A2,7,-4
A3,7,-4
A4,7,Infinity
B2,8,-Infinity
A2,9,-4
B2,8,-4
A4,7,-4
B4,8,-Infinity
A2,9,Infinity
B2,10,3
A2,9,3
B3,10,4
A2,9,3
B4,10,Infinity
B2,10,2
B4,10,2
B3,10,1
B4,10,1
A2,9,1
B4,8,1
A3,9,Infinity
B2,10,Infinity
B3,10,2
B2,10,2
B4,10,Infinity
B3,10,4
B4,10,4
B2,10,2
A3,9,2
B4,8,2
A4,9,Infinity
B2,10,Infinity
B3,10,2
B2,10,2
B4,10,Infinity
B3,10,6
B4,10,6
B2,10,2
A4,9,2
B4,8,2
A4,7,-4
A3,7,-4
B3,6,1
A4,7,Infinity
B2,8,-Infinity
A2,9,Infinity
B2,10,3
A2,9,3
B3,10,3
A2,9,3
B4,10,2
A2,9,2
B2,8,2
A3,9,Infinity
B2,10,3
A3,9,3
B3,10,3
A3,9,3
B4,10,2
A3,9,2
B2,8,2
A4,7,2
B4,8,-Infinity
A2,9,Infinity
B2,10,1
A2,9,1
B3,10,0
A2,9,0
B4,8,0
A3,9,Infinity
B2,10,1
A3,9,1
B3,10,0
A3,9,0
B4,8,0
A4,9,Infinity
B2,10,Infinity
B3,10,0
B2,10,0
B4,10,Infinity
B3,10,6
B4,10,6
B2,10,0
A4,9,0
B4,8,0
A4,7,0
B3,6,1
A4,5,0
B4,6,-Infinity
A2,7,Infinity
B2,8,-Infinity
A3,9,-Infinity
A2,9,-4
A3,9,-4
B2,8,-4
A2,7,-4
B3,8,-Infinity
A2,9,-Infinity
A3,9,Infinity
B2,10,3
A3,9,3
B4,10,Infinity
B2,10,2
B4,10,2
A3,9,2
A2,9,2
A4,9,Infinity
B4,10,10
A4,9,10
A2,9,10
B3,8,10
A3,9,Infinity
B2,10,2
A3,9,2
B4,10,Infinity
B2,10,1
B4,10,1
A3,9,1
