Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
B2,1,-Infinity,-Infinity,Infinity
B3,1,Infinity,-Infinity,Infinity
A2,2,-Infinity,-Infinity,Infinity
B2,3,Infinity,-Infinity,Infinity
A3,4,-Infinity,-Infinity,Infinity
B2,5,Infinity,-Infinity,Infinity
A2,6,Infinity,-Infinity,Infinity
A4,6,-Infinity,-Infinity,Infinity
B2,7,Infinity,-Infinity,Infinity
A2,8,Infinity,-Infinity,Infinity
A3,8,-Infinity,-Infinity,Infinity
B3,9,Infinity,-Infinity,Infinity
A3,10,-4,-Infinity,Infinity
B3,9,-4,-Infinity,-4
A4,10,-3,-Infinity,-4
B3,9,-4,-Infinity,-4
A5,10,-4,-Infinity,-4
B3,9,-4,-Infinity,-4
A3,8,-4,-4,Infinity
B4,9,Infinity,-4,Infinity
A3,10,-2,-4,Infinity
B4,9,-2,-4,-2
A4,10,-1,-4,-2
B4,9,-2,-4,-2
A5,10,-2,-4,-2
B4,9,-2,-4,-2
A3,8,-2,-2,Infinity
B5,9,Infinity,-2,Infinity
A3,10,-2,-2,Infinity
B5,9,-2,-2,Infinity
A3,8,-2,-2,Infinity
A2,8,-2,-Infinity,-2
A5,8,-Infinity,-Infinity,-2
B2,9,Infinity,-Infinity,-2
A2,10,Infinity,-Infinity,-2
A3,10,Infinity,-Infinity,-2
A2,10,Infinity,-Infinity,-2
A4,10,-2,-Infinity,-2
A2,10,-2,-Infinity,-2
A3,10,-2,-Infinity,-2
A4,10,-14,-Infinity,-2
A3,10,-14,-Infinity,-14
A2,10,-14,-Infinity,-14
A4,10,-5,-Infinity,-14
A2,10,-14,-Infinity,-14
B2,9,-14,-Infinity,-14
A3,10,Infinity,-Infinity,-14
A2,10,-6,-Infinity,-14
A3,10,-6,-Infinity,-14
A4,10,-13,-Infinity,-14
A3,10,-13,-Infinity,-14
B2,9,-14,-Infinity,-14
A4,10,-4,-Infinity,-14
B2,9,-14,-Infinity,-14
A5,8,-14,-14,-2
B3,9,Infinity,-14,-2
A2,10,Infinity,-14,-2
A3,10,-5,-14,-2
A2,10,-5,-14,-5
A4,10,-6,-14,-5
A2,10,-6,-14,-6
A5,10,-4,-14,-6
A2,10,-6,-14,-6
B3,9,-6,-14,-6
A3,10,-4,-14,-6
B3,9,-6,-14,-6
A4,10,-3,-14,-6
B3,9,-6,-14,-6
A5,10,-3,-14,-6
B3,9,-6,-14,-6
A5,8,-6,-6,-2
B4,9,Infinity,-6,-2
A2,10,-4,-6,-2
B4,9,-4,-6,-4
A3,10,-4,-6,-4
B4,9,-4,-6,-4
A4,10,-3,-6,-4
B4,9,-4,-6,-4
A5,10,-3,-6,-4
B4,9,-4,-6,-4
A5,8,-4,-4,-2
B5,9,Infinity,-4,-2
A2,10,-4,-4,-2
B5,9,-4,-4,-2
A5,8,-4,-4,-2
A2,8,-4,-Infinity,-4
B2,7,-4,-Infinity,-4
A3,8,-Infinity,-Infinity,-4
B3,9,Infinity,-Infinity,-4
A2,10,-2,-Infinity,-4
B3,9,-2,-Infinity,-4
A3,10,-1,-Infinity,-4
B3,9,-2,-Infinity,-4
A4,10,-1,-Infinity,-4
B3,9,-2,-Infinity,-4
A5,10,-2,-Infinity,-4
B3,9,-2,-Infinity,-4
A3,8,-2,-Infinity,-4
B2,7,-4,-Infinity,-4
A5,8,-Infinity,-Infinity,-4
B2,9,Infinity,-Infinity,-4
A2,10,-4,-Infinity,-4
B2,9,-4,-Infinity,-4
A3,10,Infinity,-Infinity,-4
A2,10,-5,-Infinity,-4
A3,10,-5,-Infinity,-5
A4,10,-12,-Infinity,-5
A3,10,-12,-Infinity,-12
B2,9,-12,-Infinity,-12
A4,10,-3,-Infinity,-12
B2,9,-12,-Infinity,-12
A5,8,-12,-12,-4
B3,9,Infinity,-12,-4
A2,10,-3,-12,-4
B3,9,-3,-12,-4
A3,10,-3,-12,-4
B3,9,-3,-12,-4
A4,10,-2,-12,-4
B3,9,-3,-12,-4
A5,10,-2,-12,-4
B3,9,-3,-12,-4
A5,8,-3,-12,-4
B2,7,-4,-Infinity,-4
A4,6,-4,-4,Infinity
B3,7,Infinity,-4,Infinity
A2,8,Infinity,-4,Infinity
A3,8,-Infinity,-4,Infinity
B4,9,Infinity,-4,Infinity
A2,10,Infinity,-4,Infinity
A4,10,-4,-4,Infinity
A2,10,-4,-4,Infinity
B4,9,-4,-4,Infinity
A3,8,-4,-4,Infinity
B5,9,Infinity,-4,Infinity
A2,10,Infinity,-4,Infinity
A4,10,-4,-4,Infinity
A2,10,-4,-4,Infinity
B5,9,-4,-4,Infinity
A3,8,-4,-4,Infinity
A2,8,-4,-4,Infinity
B3,7,-4,-4,Infinity
A4,6,-4,-4,Infinity
B4,7,Infinity,-4,Infinity
A2,8,-Infinity,-4,Infinity
B2,9,Infinity,-4,Infinity
A3,10,Infinity,-4,Infinity
A2,10,Infinity,-4,Infinity
A4,10,-11,-4,Infinity
A2,10,-11,-4,Infinity
A3,10,-11,-4,Infinity
B2,9,-11,-4,Infinity
A2,8,-11,-4,Infinity
B3,9,Infinity,-4,Infinity
A3,10,Infinity,-4,Infinity
A2,10,Infinity,-4,Infinity
A4,10,-7,-4,Infinity
A2,10,-7,-4,Infinity
A3,10,-7,-4,Infinity
B3,9,-7,-4,Infinity
A2,8,-7,-4,Infinity
B5,9,Infinity,-4,Infinity
A2,10,Infinity,-4,Infinity
A3,10,-3,-4,Infinity
A2,10,-3,-4,-3
A4,10,-7,-4,-3
A2,10,-7,-4,-3
B5,9,-7,-4,Infinity
A2,8,-7,-4,Infinity
B4,7,-7,-4,Infinity
A4,6,-4,-4,Infinity
B5,7,Infinity,-4,Infinity
A2,8,-Infinity,-4,Infinity
B2,9,Infinity,-4,Infinity
A3,10,Infinity,-4,Infinity
A2,10,Infinity,-4,Infinity
A4,10,4,-4,Infinity
A2,10,4,-4,4
A3,10,4,-4,4
A4,10,-3,-4,4
A3,10,-3,-4,-3
B2,9,-3,-4,-3
A4,10,5,-4,-3
B2,9,-3,-4,-3
A2,8,-3,-3,Infinity
B3,9,Infinity,-3,Infinity
A3,10,Infinity,-3,Infinity
A2,10,Infinity,-3,Infinity
A4,10,-7,-3,Infinity
A2,10,-7,-3,Infinity
A3,10,-7,-3,Infinity
B3,9,-7,-3,Infinity
A2,8,-3,-3,Infinity
B4,9,Infinity,-3,Infinity
A2,10,Infinity,-3,Infinity
A3,10,-3,-3,Infinity
A2,10,-3,-3,Infinity
B4,9,-3,-3,Infinity
A2,8,-3,-3,Infinity
B5,7,-3,-4,-3
A3,8,Infinity,-4,-3
A2,8,-Infinity,-4,-3
B2,9,Infinity,-4,-3
A4,10,4,-4,-3
B2,9,4,-4,-3
A2,8,4,-4,-3
A3,8,4,-4,-3
A4,8,-Infinity,-4,-3
B2,9,Infinity,-4,-3
A2,10,-9,-4,-3
B2,9,-9,-4,-3
A4,8,-9,-4,-3
B4,9,Infinity,-4,-3
A2,10,-8,-4,-3
B4,9,-8,-4,-3
A4,8,-8,-4,-3
A3,8,-8,-4,-3
B5,7,-8,-4,-3
A4,6,-4,-4,Infinity
A2,6,-4,-Infinity,-4
A5,6,-Infinity,-Infinity,-4
B2,7,Infinity,-Infinity,-4
A2,8,Infinity,-Infinity,-4
A3,8,-Infinity,-Infinity,-4
B3,9,Infinity,-Infinity,-4
A4,10,-4,-Infinity,-4
B3,9,-4,-Infinity,-4
A5,10,-3,-Infinity,-4
B3,9,-4,-Infinity,-4
A3,8,-4,-Infinity,-4
A2,8,-4,-Infinity,-4
A4,8,-Infinity,-Infinity,-4
